No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
276,MTH,Meritage Homes Corp,Consumer Cyclical,Residential Construction,USA,5783.98,7.62,168.43,-5.08%,741755
277,MTSI,MACOM Technology Solutions Holdings Inc,Technology,Semiconductors,USA,10254.52,133.55,139.04,1.87%,657320
278,MTZ,Mastec Inc,Industrials,Engineering & Construction,USA,10945.59,123.11,137.78,0.26%,474412
279,MUR,Murphy Oil Corp,Energy,Oil & Gas E&P,USA,4391.5,9.79,30.29,-0.59%,970660
280,MXL,MaxLinear Inc,Technology,Semiconductors,USA,1841.67,,20.68,5.56%,2194388
281,MYGN,"Myriad Genetics, Inc",Healthcare,Diagnostics & Research,USA,1307.3,,14.43,-0.48%,1148550
282,NCLH,Norwegian Cruise Line Holdings Ltd,Consumer Cyclical,Travel Services,USA,11779.78,26,26.8,-0.04%,7171363
283,NFE,New Fortress Energy Inc,Utilities,Utilities - Regulated Gas,USA,3137.29,14.17,12.8,-2.51%,3895697
284,NGVT,Ingevity Corp,Basic Materials,Specialty Chemicals,USA,1622.68,,45.83,-2.59%,291528
285,NIO,NIO Inc ADR,Consumer Cyclical,Auto Manufacturers,China,8676.65,,4.51,-1.74%,31903260
286,NLY,Annaly Capital Management Inc,Real Estate,REIT - Mortgage,USA,11098.86,,19.78,0.10%,5760361
287,NMRA,Neumora Therapeutics Inc,Healthcare,Biotechnology,USA,1626.34,,10.32,-2.46%,860290
288,NMRK,Newmark Group Inc,Real Estate,Real Estate Services,USA,2413.81,48.11,14.48,-2.56%,697605
289,NOG,Northern Oil and Gas Inc,Energy,Oil & Gas E&P,USA,4014.57,4.89,40.71,-1.21%,1047075
290,NOV,NOV Inc,Energy,Oil & Gas Equipment & Services,USA,5778.27,5.54,14.97,-0.80%,4663468
291,NRIX,Nurix Therapeutics Inc,Healthcare,Biotechnology,USA,1415.6,,20.27,-1.41%,739206
292,NSSC,NAPCO Security Technologies Inc,Industrials,Security & Protection Services,USA,1320.2,27.2,37,-2.73%,450020
293,NTLA,Intellia Therapeutics Inc,Healthcare,Biotechnology,USA,1249.9,,12.9,-4.87%,3187759
294,NTRA,Natera Inc,Healthcare,Diagnostics & Research,USA,22001.28,,166.55,0.06%,1211176
295,NUE,Nucor Corp,Basic Materials,Steel,USA,28031.68,12.1,125.25,-4.69%,2790702
296,NVAX,"Novavax, Inc",Healthcare,Biotechnology,USA,1473.85,,9.11,1.00%,3221919
297,NVDA,NVIDIA Corp,Technology,Semiconductors,USA,3213811.07,52.88,134.25,-2.25%,231514880
298,NXE,NexGen Energy Ltd,Energy,Uranium,Canada,4237.5,43.13,7.5,-3.72%,6386697
299,NXT,Nextracker Inc,Technology,Solar,USA,5200.72,9.65,35.47,0.74%,1411073
300,OII,"Oceaneering International, Inc",Energy,Oil & Gas Equipment & Services,USA,2589.4,19.5,25.87,-0.96%,778167
301,OKE,Oneok Inc,Energy,Oil & Gas Midstream,USA,60523.68,21.78,104.03,-0.42%,1801787
302,OLPX,Olaplex Holdings Inc,Consumer Cyclical,Specialty Retail,USA,1419.17,32.97,2.1,1.94%,2036974
303,OMF,OneMain Holdings Inc,Financial,Credit Services,USA,6652.71,12.21,55.68,0.11%,1042863
304,ON,ON Semiconductor Corp,Technology,Semiconductors,USA,27604.32,16.37,65.96,-1.71%,7179648
305,OPEN,Opendoor Technologies Inc,Real Estate,Real Estate Services,USA,1344.91,,1.92,-2.04%,26196556
306,OPK,Opko Health Inc,Healthcare,Diagnostics & Research,USA,1071.67,,1.59,-1.24%,3051900
307,OSCR,Oscar Health Inc,Healthcare,Healthcare Plans,USA,3382.64,,13.66,0.15%,4261075
308,OUT,Outfront Media Inc,Real Estate,REIT - Specialty,USA,3127.17,13.92,18.82,0.11%,1703103
309,OVV,Ovintiv Inc,Energy,Oil & Gas E&P,USA,10344.02,5.37,40.51,-1.91%,2403231
310,OXM,"Oxford Industries, Inc",Consumer Cyclical,Apparel Manufacturing,USA,1358.04,92.04,81.54,6.08%,628990
311,OXY,Occidental Petroleum Corp,Energy,Oil & Gas E&P,USA,44192.46,12.41,47.64,-1.14%,10414890
312,PAA,Plains All American Pipeline LP,Energy,Oil & Gas Midstream,USA,12435.24,15.89,17.86,-1.05%,6649539
313,PAGP,Plains GP Holdings LP,Energy,Oil & Gas Midstream,USA,14635.85,22.67,19.13,-0.98%,571950
