,Datetime,Interval,Ticker,Open,High,Low,Close,Volume,Avg_Volume_10,RSI,ATR,vol_vs_avrg_vol,SMA_20,SMA_50,SMA_200,SMA_65,desc_number,rsi_peak_rsi_value,rsi_peak_high_value,rsi_bottom_rsi_value,rsi_bottom_low_value,be_current_rsi_less_than_peak,be_current_price_close_above_rsi_peak,be_pre_signal_1,be_pre_signal_last_10,be_close_below_SMA65,be_signal,bu_current_rsi_more_than_bottom,bu_current_price_close_below_rsi_bottom,bu_pre_signal_1,bu_pre_signal_last_13,bu_close_above_SMA65,bu_signal,Combined_Signals_65
7363,2024-12-02 11:00:00-05:00,30m,SBUX,100.4561996459961,100.69000244140624,100.25,100.34500122070312,416749,393753.6,39.113531502368,0.504719491419462,1.0584004819257526,101.41327018737792,101.52927780151369,,101.50662595308744,77,66.65659835650962,102.5,33.98184948813642,99.87000274658205,1,0,0,2,1,Sell,1,0,0,0,0,0,Sell
7364,2024-12-02 11:30:00-05:00,30m,SBUX,100.3499984741211,100.91000366210938,100.22000122070312,100.87999725341795,265822,399356.6,45.85537744011717,0.5179539878470897,0.6656256588722961,101.39389991760254,101.4964778137207,,101.5198013305664,76,66.65659835650962,102.5,33.98184948813642,99.87000274658205,1,0,0,2,1,Sell,1,0,0,0,0,0,Sell
7365,2024-12-02 12:00:00-05:00,30m,SBUX,100.89620208740234,101.12000274658205,100.87999725341795,100.94000244140624,218534,403425.1,46.56998280991383,0.4981005239411591,0.541696587544999,101.37415008544922,101.46431579589844,,101.53318598820611,75,66.65659835650962,102.5,33.98184948813642,99.87000274658205,1,0,0,2,1,Sell,1,0,0,0,0,0,Sell
7480,2024-12-02 09:30:00-05:00,30m,NKE,77.91500091552734,78.38999938964844,77.19999694824219,77.56890106201172,1221161,785570.5,34.8621007061663,0.4368215530773157,1.5544893806475677,78.65475540161133,78.57585220336914,,78.05941408597506,80,64.20513372207682,79.1500015258789,34.8621007061663,77.19999694824219,1,0,0,2,1,Sell,0,0,0,0,0,0,Sell
7481,2024-12-02 10:00:00-05:00,30m,NKE,77.56999969482422,78.02999877929688,77.27999877929688,78.02999877929688,714815,820089.5,43.17599458219843,0.4591914421432217,0.8716304744787002,78.61175537109375,78.59305221557617,,78.10479865440955,79,64.20513372207682,79.1500015258789,34.8621007061663,77.19999694824219,1,0,0,2,1,Sell,1,0,0,0,0,0,Sell
7506,2024-12-04 09:30:00-05:00,30m,NKE,77.66999816894531,77.7300033569336,77.0999984741211,77.55500030517578,3915747,865133.9,34.21239705739593,0.44806223291315,4.526174503160725,78.75458526611328,78.61863830566406,76.72837741851806,78.60623251108022,54,53.86847161637411,79.05999755859375,34.21239705739593,77.0999984741211,1,0,0,2,1,Sell,0,0,0,0,0,0,Sell
7906,2024-12-09 10:00:00-05:00,30m,DOCS,55.0,55.2400016784668,53.52999877929688,53.90999984741211,181585,134602.2,30.086893339305615,0.6001964968827994,1.349049272597327,55.83757019042969,54.82275215148925,51.93193056106568,54.47608930147612,14,74.56714209030284,56.442501068115234,66.86049736913316,56.06999969482422,1,0,0,2,1,Sell,0,1,0,0,0,0,Sell
7907,2024-12-09 10:30:00-05:00,30m,DOCS,53.97999954223633,54.2599983215332,53.63999938964844,53.95000076293945,122195,140908.1,30.79401527086746,0.6016109565257971,0.8671964209296698,55.7785701751709,54.82435218811035,51.938555564880375,54.490396998478815,13,74.56714209030284,56.442501068115234,66.86049736913316,56.06999969482422,1,0,0,2,1,Sell,0,1,0,0,0,0,Sell
7908,2024-12-09 11:00:00-05:00,30m,DOCS,53.84000015258789,53.845001220703125,53.02000045776367,53.58290100097656,122804,146148.7,27.99552865546956,0.6250673385722246,0.840267480997094,55.69564514160156,54.82111022949218,51.94557006835937,54.49877700805664,12,74.56714209030284,56.442501068115234,27.99552865546956,53.02000045776367,1,0,0,2,1,Sell,0,0,0,0,0,0,Sell
7909,2024-12-09 11:30:00-05:00,30m,DOCS,53.560001373291016,53.88999938964844,53.505001068115234,53.77000045776367,54110,144024.7,31.41650171483556,0.607919551640866,0.3756994459978045,55.61514511108398,54.80551025390625,51.95477006912231,54.51093086829552,11,74.56714209030284,56.442501068115234,27.99552865546956,53.02000045776367,1,0,0,2,1,Sell,1,0,0,0,0,0,Sell
8193,2024-11-29 09:30:00-05:00,30m,AI,37.77999877929688,39.32659912109375,37.34999847412109,38.67499923706055,2411459,414012.3,71.2791449704252,0.6500489630828621,5.824607143314341,36.29660549163818,37.268414154052735,,36.773867797851565,87,71.2791449704252,39.32659912109375,34.57184192435234,35.40999984741211,0,0,0,0,0,0,1,0,0,2,1,Buy,Buy
8194,2024-11-29 10:00:00-05:00,30m,AI,38.650001525878906,38.72999954223633,37.709999084472656,37.862300872802734,764988,467529.1,60.95878559202542,0.6764740698457771,1.6362361187784888,36.33672046661377,37.29296020507813,,36.85228782066932,86,71.2791449704252,39.32659912109375,34.57184192435234,35.40999984741211,1,0,0,0,0,0,1,0,0,2,1,Buy,Buy
