Symbol,Name,Last,Change,% Change,Options Tot Vol,Options OI,Options IV 1y,Options % Change 1m,Call Vol,Put Vol,Put/Call
SNAP,SnapInc,16.02,-0.59,-3.55%,62767,1180506,53.11%,+30.32%,40796,21971,0.5386
RKLB,RocketLabUSA,4.54,-0.26,-5.42%,13480,292516,20.97%,+29.75%,6926,6554,0.9463
TWLO,Twilio,56.75,-0.06,-0.11%,11788,144441,15.21%,+28.70%,8692,3096,0.3562
NIO,NioIncADR,4.44,+0.28,6.73%,154609,2328213,17.71%,+28.41%,109458,45151,0.4125
BTBT,BitDigitalIn,3.39,+0.21,6.60%,11435,144055,26.93%,+28.25%,9149,2286,0.2499
RIOT,RiotPlatforms,9.95,+0.81,8.86%,157940,880923,1.34%,+27.98%,127153,30787,0.2421
ALT,AltimmuneInc,7.2,+0.55,8.27%,11760,88729,20.44%,+27.36%,9084,2676,0.2946
ZS,ZscalerInc,198.62,+6.43,3.35%,20873,176591,1.45%,+27.17%,16667,4206,0.2524
ACB,AuroraCannabi,4.64,+0.02,0.43%,5159,232591,2.22%,+27.16%,2943,2216,0.7530
TDOC,TeladocHealth,9.32,-0.46,-4.70%,13099,178307,64.66%,+27.04%,9588,3511,0.3662
STNG,ScorpioTanker,79.37,-1.92,-2.36%,7722,136977,25.39%,+26.99%,2798,4924,1.7598
AA,AlcoaCorp,39.7,-0.08,-0.20%,18243,254959,49.63%,+25.54%,8208,10035,1.2226
BE,BloomEnergyC,11.37,-0.87,-7.11%,8877,204032,44.76%,+25.45%,4736,4141,0.8744
HON,HoneywellInte,210.95,-2.59,-1.21%,5928,86302,45.66%,+25.17%,3945,1983,0.5027
DAL,DeltaAirLine,46.92,-0.52,-1.10%,42282,666903,82.51%,+24.36%,33092,9190,0.2777
UNH,UnitedhealthG,494.65,-14.61,-2.87%,23804,203547,96.42%,+24.22%,14928,8876,0.5946
INSM,InsmedInc,66.34,-0.66,-0.99%,5740,155961,11.80%,+23.39%,1538,4202,2.7321
JPM,JPMorganChas,205.45,+3.19,1.58%,100467,832520,56.03%,+23.10%,63218,37249,0.5892
NOVA,SunnovaEnergy,5.23,-0.35,-6.27%,7468,281293,50.08%,+22.45%,959,6509,6.7873
M,MacInc,18.25,-0.95,-4.95%,19879,243746,51.21%,+21.73%,10582,9297,0.8786
RUN,SunrunInc,10.91,-0.94,-7.97%,36514,537439,29.10%,+21.58%,29191,7323,0.2509
T,AT&TInc,18.98,-0.13,-0.68%,66629,1237262,42.78%,+20.70%,47284,19345,0.4091
CZR,CaesarsEntert,37.75,-1.99,-5.01%,19361,179677,16.43%,+20.44%,14720,4641,0.3153
STX,SeagateTechno,102.44,-0.83,-0.80%,9185,104513,65.69%,+20.05%,5014,4171,0.8319
MTCH,MatchGroupIn,29.34,-1.04,-3.42%,11246,224542,27.46%,+17.73%,3672,7574,2.0626
ETSY,EtsyInc,57.01,-1.97,-3.34%,13900,229059,42.84%,+17.43%,9801,4099,0.4182
LMND,LemonadeInc,16.46,-0.04,-0.24%,7299,118857,23.88%,+17.42%,6684,615,0.0920
MRO,MarathonOilC,28.71,+0.04,0.14%,4593,174891,7.48%,+16.54%,3743,850,0.2271
MDB,MongodbIncCl,263.51,+13.55,5.42%,29854,137348,14.33%,+16.52%,22206,7648,0.3444
PG,Procter&Gamb,162.72,-2.20,-1.33%,17444,265435,37.42%,+16.32%,9834,7610,0.7738
IONQ,IonqInc,6.84,-0.19,-2.70%,7061,142599,7.47%,+16.06%,4276,2785,0.6513
JBLU,JetblueAirway,5.8,-0.29,-4.76%,8903,310129,42.64%,+15.62%,4609,4294,0.9317
CCL,CarnivalCorp,17.71,-1.01,-5.40%,150684,1720727,8.52%,+14.82%,93849,56835,0.6056
FTAI,FtaiAviation,105,+1.77,1.71%,5594,65856,87.42%,+13.24%,5271,323,0.0613
LUMN,LumenTechnolo,1.11,+0.01,0.91%,5845,559530,14.17%,+12.99%,3866,1979,0.5119
MMM,3MCompany,100.61,-1.58,-1.55%,12065,194677,56.39%,+11.95%,7385,4680,0.6337
CYTK,Cytokinetics,54.7,+0.52,0.96%,4074,71406,7.42%,+11.71%,4043,31,0.0077
SYF,SynchronyFina,48.11,+0.92,1.95%,3429,103285,51.78%,+11.55%,2863,566,0.1977
SAVE,SpiritAirline,3.54,-0.12,-3.28%,16304,618609,22.49%,+11.48%,8139,8165,1.0032
ABT,AbbottLaborat,103.2,-0.71,-0.68%,13552,202862,51.83%,+11.41%,9498,4054,0.4268
